"com.kompasgramedia.myvalue - New user acquisitions (All events, Per interval, Daily) and All user loss (All events, Per interval, Daily), by Android Version for 2019-04-06 - 2019-10-02 and 2019-03-07 - 2019-09-02"
,,Metric,"New user acquisitions (All events, Per interval, Daily)","All user loss (All events, Per interval, Daily)",Notes
,,Dimension,All Android versions,All Android versions
Period,Date
2019-03-07 - 2019-09-02,2019-05-27,,284,200
2019-03-07 - 2019-09-02,2019-05-28,,267,247
2019-03-07 - 2019-09-02,2019-05-29,,364,250
2019-03-07 - 2019-09-02,2019-05-30,,397,229
2019-03-07 - 2019-09-02,2019-05-31,,374,258
2019-03-07 - 2019-09-02,2019-06-01,,531,231
2019-03-07 - 2019-09-02,2019-06-02,,559,242
2019-03-07 - 2019-09-02,2019-06-03,,482,258
2019-03-07 - 2019-09-02,2019-06-04,,291,213
2019-03-07 - 2019-09-02,2019-06-05,,406,233
2019-03-07 - 2019-09-02,2019-06-06,,620,254
2019-03-07 - 2019-09-02,2019-06-07,,779,288
2019-03-07 - 2019-09-02,2019-06-08,,"1,113",278
2019-03-07 - 2019-09-02,2019-06-09,,"1,177",335
2019-03-07 - 2019-09-02,2019-06-10,,"1,048",377
2019-03-07 - 2019-09-02,2019-06-11,,"1,023",361
2019-03-07 - 2019-09-02,2019-06-12,,"1,007",359
2019-03-07 - 2019-09-02,2019-06-13,,846,398
2019-03-07 - 2019-09-02,2019-06-14,,890,341
2019-03-07 - 2019-09-02,2019-06-15,,"1,288",386
2019-03-07 - 2019-09-02,2019-06-16,,"1,215",410
2019-03-07 - 2019-09-02,2019-06-17,,842,377,Rollout of release - Started rollout of 0.5.7 at 100%
2019-03-07 - 2019-09-02,2019-06-18,,819,335
2019-03-07 - 2019-09-02,2019-06-19,,782,333
2019-03-07 - 2019-09-02,2019-06-20,,802,383
2019-03-07 - 2019-09-02,2019-06-21,,793,326
2019-03-07 - 2019-09-02,2019-06-22,,"1,003",369
2019-03-07 - 2019-09-02,2019-06-23,,925,396
2019-03-07 - 2019-09-02,2019-06-24,,776,391
2019-03-07 - 2019-09-02,2019-06-25,,778,365
2019-03-07 - 2019-09-02,2019-06-26,,773,380
2019-03-07 - 2019-09-02,2019-06-27,,945,490
2019-03-07 - 2019-09-02,2019-06-28,,984,469
2019-03-07 - 2019-09-02,2019-06-29,,"1,201",471
2019-03-07 - 2019-09-02,2019-06-30,,"1,111",404
2019-03-07 - 2019-09-02,2019-07-01,,837,459
2019-03-07 - 2019-09-02,2019-07-02,,"1,014",435
2019-03-07 - 2019-09-02,2019-07-03,,980,426
2019-03-07 - 2019-09-02,2019-07-04,,880,388
2019-03-07 - 2019-09-02,2019-07-05,,"1,063",455
2019-03-07 - 2019-09-02,2019-07-06,,"1,319",433
2019-03-07 - 2019-09-02,2019-07-07,,"1,307",532
2019-03-07 - 2019-09-02,2019-07-08,,"1,082",457
2019-03-07 - 2019-09-02,2019-07-09,,"1,095",462
2019-03-07 - 2019-09-02,2019-07-10,,"1,149",501
2019-03-07 - 2019-09-02,2019-07-11,,"1,185",494
2019-03-07 - 2019-09-02,2019-07-12,,"1,203",452
2019-03-07 - 2019-09-02,2019-07-13,,"1,426",458
2019-03-07 - 2019-09-02,2019-07-14,,"1,118",446
2019-03-07 - 2019-09-02,2019-07-15,,837,448
2019-03-07 - 2019-09-02,2019-07-16,,"1,094",530
2019-03-07 - 2019-09-02,2019-07-17,,"1,014",465
2019-03-07 - 2019-09-02,2019-07-18,,"1,061",586
2019-03-07 - 2019-09-02,2019-07-19,,"1,055",493
2019-03-07 - 2019-09-02,2019-07-20,,"1,412",510
2019-03-07 - 2019-09-02,2019-07-21,,"1,200",471
2019-03-07 - 2019-09-02,2019-07-22,,889,445
2019-03-07 - 2019-09-02,2019-07-23,,922,504
2019-03-07 - 2019-09-02,2019-07-24,,897,471
2019-03-07 - 2019-09-02,2019-07-25,,813,436
2019-03-07 - 2019-09-02,2019-07-26,,"1,303",611
2019-03-07 - 2019-09-02,2019-07-27,,"1,222",466
2019-03-07 - 2019-09-02,2019-07-28,,"1,140",546
2019-03-07 - 2019-09-02,2019-07-29,,987,588,Metric update - Acquisition and Loss metrics by User and Device were updated to be more accurate.
2019-03-07 - 2019-09-02,2019-07-30,,914,572
2019-03-07 - 2019-09-02,2019-07-31,,983,717
2019-03-07 - 2019-09-02,2019-08-01,,"1,299",649
2019-03-07 - 2019-09-02,2019-08-02,,"1,662",714
2019-03-07 - 2019-09-02,2019-08-03,,"1,931",791
2019-03-07 - 2019-09-02,2019-08-04,,"1,407",712
2019-03-07 - 2019-09-02,2019-08-05,,"1,099",639
2019-03-07 - 2019-09-02,2019-08-06,,"1,161",665
2019-03-07 - 2019-09-02,2019-08-07,,"1,303",753,Rollout of release - Started rollout of 0.6.0 at 100%
2019-03-07 - 2019-09-02,2019-08-08,,"1,048",862
2019-03-07 - 2019-09-02,2019-08-09,,"1,554",846,Rollout of release - Started rollout of 0.6.1 at 100%
2019-03-07 - 2019-09-02,2019-08-10,,"1,406",644
2019-03-07 - 2019-09-02,2019-08-11,,"1,508",712
2019-03-07 - 2019-09-02,2019-08-12,,"1,083",649
2019-03-07 - 2019-09-02,2019-08-13,,"1,171",660
2019-03-07 - 2019-09-02,2019-08-14,,"1,080",670
2019-03-07 - 2019-09-02,2019-08-15,,969,618,Rollout of release - Started rollout of 0.6.2 at 100%
2019-03-07 - 2019-09-02,2019-08-16,,"1,166",692
2019-03-07 - 2019-09-02,2019-08-17,,"1,560",681
2019-03-07 - 2019-09-02,2019-08-18,,"1,231",713
2019-03-07 - 2019-09-02,2019-08-19,,990,621
2019-03-07 - 2019-09-02,2019-08-20,,833,598
2019-03-07 - 2019-09-02,2019-08-21,,"1,006",670
2019-03-07 - 2019-09-02,2019-08-22,,"1,068",671
2019-03-07 - 2019-09-02,2019-08-23,,"1,262",644
2019-03-07 - 2019-09-02,2019-08-24,,"1,489",737
2019-03-07 - 2019-09-02,2019-08-25,,"1,237",690
2019-03-07 - 2019-09-02,2019-08-26,,717,598
2019-03-07 - 2019-09-02,2019-08-27,,779,609
2019-03-07 - 2019-09-02,2019-08-28,,639,523
2019-03-07 - 2019-09-02,2019-08-29,,814,550
2019-03-07 - 2019-09-02,2019-08-30,,812,492
2019-03-07 - 2019-09-02,2019-08-31,,"1,235",554
2019-03-07 - 2019-09-02,2019-09-01,,-,-
2019-03-07 - 2019-09-02,2019-09-02,,-,-
